"              ELEM","                 X","                 Y","                 Z","             SAT_G","             SAT_L","              PRES","           PCAP_GL","             DEN_G","             DEN_L","             VIS_G","             VIS_L"
"                  ","               (M)","               (M)","               (M)","               (-)","               (-)","              (PA)","              (PA)","         (KG/M**3)","         (KG/M**3)","            (PA*S)","            (PA*S)"
"TIME [sec]  0.29706000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.93216523182E+000,  0.67834768177E-001,  0.57885023899E+006,  0.00000000000E+000,  0.97703101631E+000,  0.99943420849E+003,  0.19351566389E-004,  0.11358530499E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99922490497E+000,  0.77509503285E-003,  0.57885023888E+006,  0.00000000000E+000,  0.97703101613E+000,  0.99943420849E+003,  0.19351566389E-004,  0.11358530499E-002
"TIME [sec]  0.29712000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.92392009044E+000,  0.76079909558E-001,  0.58233503166E+006,  0.00000000000E+000,  0.98285286937E+000,  0.99943581935E+003,  0.19351577829E-004,  0.11358523518E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99912407611E+000,  0.87592388813E-003,  0.58233503154E+006,  0.00000000000E+000,  0.98285286918E+000,  0.99943581935E+003,  0.19351577829E-004,  0.11358523518E-002
"TIME [sec]  0.29719000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.91082141156E+000,  0.89178588441E-001,  0.58795873666E+006,  0.00000000000E+000,  0.99224808661E+000,  0.99943841889E+003,  0.19351596291E-004,  0.11358512250E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99896273013E+000,  0.10372698660E-002,  0.58795873655E+006,  0.00000000000E+000,  0.99224808642E+000,  0.99943841889E+003,  0.19351596291E-004,  0.11358512250E-002
"TIME [sec]  0.29725000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.90257668928E+000,  0.97423310721E-001,  0.59155483820E+006,  0.00000000000E+000,  0.99825589733E+000,  0.99944008117E+003,  0.19351608096E-004,  0.11358505046E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99886032877E+000,  0.11396712259E-002,  0.59155483809E+006,  0.00000000000E+000,  0.99825589714E+000,  0.99944008117E+003,  0.19351608096E-004,  0.11358505046E-002
"TIME [sec]  0.29732000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.89295820957E+000,  0.10704179043E+000,  0.59580643419E+006,  0.00000000000E+000,  0.10053588069E+001,  0.99944204643E+003,  0.19351622054E-004,  0.11358496528E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99874007949E+000,  0.12599205148E-002,  0.59580643408E+006,  0.00000000000E+000,  0.10053588067E+001,  0.99944204643E+003,  0.19351622054E-004,  0.11358496528E-002
"TIME [sec]  0.29738000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.88471411528E+000,  0.11528588472E+000,  0.59949973148E+006,  0.00000000000E+000,  0.10115289972E+001,  0.99944375361E+003,  0.19351634178E-004,  0.11358489128E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99863632680E+000,  0.13636731962E-002,  0.59949973136E+006,  0.00000000000E+000,  0.10115289970E+001,  0.99944375361E+003,  0.19351634178E-004,  0.11358489128E-002
"TIME [sec]  0.29745000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.87509637846E+000,  0.12490362154E+000,  0.60386702142E+006,  0.00000000000E+000,  0.10188251904E+001,  0.99944577232E+003,  0.19351648515E-004,  0.11358480378E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99851447999E+000,  0.14855200090E-002,  0.60386702130E+006,  0.00000000000E+000,  0.10188251902E+001,  0.99944577232E+003,  0.19351648515E-004,  0.11358480378E-002
"TIME [sec]  0.29751000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.86749479741E+000,  0.13250520259E+000,  0.60736432663E+006,  0.00000000000E+000,  0.10246679474E+001,  0.99944738888E+003,  0.19351659996E-004,  0.11358473371E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99841756920E+000,  0.15824308017E-002,  0.60736432661E+006,  0.00000000000E+000,  0.10246679474E+001,  0.99944738888E+003,  0.19351659996E-004,  0.11358473371E-002
"TIME [sec]  0.29758000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.86604685941E+000,  0.13395314059E+000,  0.60803506651E+006,  0.00000000000E+000,  0.10257885160E+001,  0.99944769891E+003,  0.19351662198E-004,  0.11358472028E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99839921736E+000,  0.16007826372E-002,  0.60803506649E+006,  0.00000000000E+000,  0.10257885160E+001,  0.99944769891E+003,  0.19351662198E-004,  0.11358472028E-002
"TIME [sec]  0.29764000E+08"
"             A11 0",  0.25000000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.86480577570E+000,  0.13519422430E+000,  0.60861116939E+006,  0.00000000000E+000,  0.10267509796E+001,  0.99944796520E+003,  0.19351664089E-004,  0.11358470873E-002
"             A11 1",  0.60500000000E+000,  0.50000000000E-001, -0.50000000000E-001,  0.99838347468E+000,  0.16165253244E-002,  0.60861116937E+006,  0.00000000000E+000,  0.10267509796E+001,  0.99944796520E+003,  0.19351664089E-004,  0.11358470873E-002
"TIME [sec]  0.29771000E+08"
