TimeElapsed,GAS_INJEC
17592100.0,-0.0
17645100.0,-0.0
17698100.0,-0.0
17751000.0,-0.0
17804000.0,-0.0
17857000.0,1.1031680669e-11
17910000.0,2.1656755122e-11
17962900.0,2.1492110128e-11
18015900.0,2.1822324497e-11
18068900.0,3.6102401379e-11
18121900.0,5.5769099454e-11
18174800.0,5.6567498209e-11
18227800.0,5.7638737528e-11
18280800.0,5.9249013765e-11
18333800.0,6.01076672e-11
18386700.0,6.1774617785e-11
18439700.0,6.294352301e-11
18492700.0,6.413673873e-11
18545700.0,6.5627386151e-11
18598600.0,6.6322628486e-11
18651600.0,6.8424936598e-11
18704600.0,6.9448221027e-11
18736880.0,6.9909884827e-11
18757600.0,7.1062277197e-11
18810500.0,7.2423132589e-11
18863500.0,7.4106708424e-11
18916500.0,7.5828463334e-11
18969500.0,7.7886853545e-11
19022400.0,7.9089152627e-11
19075400.0,8.1233878594e-11
19128400.0,8.2814028459e-11
19181400.0,8.5055035181e-11
19234300.0,8.6402587233e-11
19287300.0,8.9062065339e-11
19340300.0,9.1464722826e-11
19393300.0,2.9334552319e-12
19446200.0,-0.0
19499200.0,2.6092988473e-12
19552200.0,-0.0
19605200.0,6.5273687131e-13
19658100.0,3.9169463002e-12
19711100.0,-0.0
19764100.0,3.2656738757e-13
19817100.0,-0.0
19870000.0,2.9408308014e-12
19923000.0,3.2682274971e-12
19935960.0,3.2685847479e-12
19976000.0,-0.0
20029000.0,-0.0
20081900.0,2.6163463916e-12
20134900.0,-0.0
20187900.0,-0.0
20240900.0,-0.0
20293800.0,2.2919572457e-12
20346800.0,-0.0
20399800.0,3.6031649161e-12
20452800.0,3.2764754922e-12
20505700.0,1.1146016059e-11
20558700.0,1.0834626677e-11
20611700.0,1.1508751396e-11
20664700.0,1.1196965191e-11
20717600.0,1.1543846971e-11
20770600.0,1.1561489288e-11
20823600.0,1.1910017643e-11
20876600.0,1.1596936792e-11
20929500.0,1.1614708782e-11
20982500.0,1.1632569902e-11
21035500.0,1.198335639e-11
21088500.0,1.1668450897e-11
21135060.0,1.1684287856e-11
21141400.0,1.2020345252e-11
21194400.0,1.1704526694e-11
21247400.0,1.2057599087e-11
21300400.0,1.1740859394e-11
21353300.0,1.2095049737e-11
21406300.0,1.2113877442e-11
21459300.0,1.1795744297e-11
21512300.0,1.1476616039e-11
21565200.0,1.1832606599e-11
21618200.0,1.185114575e-11
21671200.0,1.2208871429e-11
21724200.0,1.1888391376e-11
21777100.0,1.1907065037e-11
21830100.0,1.2266574563e-11
21883100.0,1.2285941877e-11
21936100.0,1.2305369962e-11
21989000.0,1.2324821516e-11
22042000.0,1.2344370425e-11
22095000.0,1.2363986726e-11
22148000.0,1.2039670675e-11
22200900.0,1.2403363101e-11
22253900.0,1.2423163283e-11
22306900.0,1.2097386531e-11
22334140.0,1.2453261266e-11
22359900.0,1.246295521e-11
22412800.0,1.2829655738e-11
22465800.0,1.2502962189e-11
22518800.0,1.2523083773e-11
22571800.0,1.2543267024e-11
22624700.0,1.2912464735e-11
22677700.0,1.2583794538e-11
22730700.0,1.2954289239e-11
22783700.0,1.2624621233e-11
22836600.0,1.2996347131e-11
22889600.0,1.2665673895e-11
22942600.0,1.3038717024e-11
22995600.0,1.306000361e-11
23048500.0,1.2727775062e-11
23101500.0,1.2748623889e-11
23154500.0,1.3124250362e-11
23207500.0,1.3145816858e-11
23260400.0,1.3167420208e-11
23313400.0,1.3189129241e-11
23366400.0,1.3567960771e-11
23419400.0,1.3232761009e-11
23472300.0,1.3254652541e-11
23525300.0,1.3276647706e-11
23533220.0,1.3279941478e-11
23578300.0,1.3298720875e-11
23631300.0,1.3680889846e-11
23684200.0,1.3343043821e-11
23737200.0,1.372655954e-11
23790200.0,1.338770276e-11
23843200.0,1.4135021062e-11
23896100.0,1.379566398e-11
23949100.0,1.3455213796e-11
24002100.0,1.3842150116e-11
24055100.0,1.3865511384e-11
24108000.0,1.3888906074e-11
24161000.0,1.3912419968e-11
24214000.0,1.3936021337e-11
24267000.0,1.4327058416e-11
24319900.0,1.3983409536e-11
24372900.0,1.4375859809e-11
24425900.0,1.4031169527e-11
24478900.0,1.4055169081e-11
24531800.0,1.4449710187e-11
24584800.0,1.4474516419e-11
24637800.0,1.4499400559e-11
24690800.0,1.4524372651e-11
24732320.0,1.4543998266e-11
24743700.0,1.4549385945e-11
24796700.0,1.4574529143e-11
24849700.0,1.422540902e-11
24902700.0,1.425007827e-11
24955600.0,1.4650445087e-11
25008600.0,1.4299610537e-11
25061600.0,1.4701499559e-11
25114600.0,1.4727172719e-11
25167500.0,1.4374607185e-11
25220500.0,1.5157681313e-11
25273500.0,1.5184289008e-11
25326500.0,1.4830716419e-11
25379400.0,1.5237734083e-11
25432400.0,1.4883008388e-11
25485400.0,1.5291608143e-11
25538400.0,1.5318688051e-11
25591300.0,1.5345813524e-11
25644300.0,1.5373082249e-11
25697300.0,1.540045153e-11
25750300.0,1.5042220857e-11
25803200.0,1.5455431099e-11
25856200.0,1.5483090848e-11
25909200.0,1.5510853646e-11
25931400.0,1.552250907e-11
25962200.0,1.5538715316e-11
26015100.0,1.5177452502e-11
26068100.0,1.5594682395e-11
26121100.0,1.5622845615e-11
26174100.0,1.6042383391e-11
26227000.0,-0.0
26280000.0,-0.0
26333000.0,-0.0
26386000.0,-0.0
26438900.0,-0.0
26491900.0,-0.0
26544900.0,-0.0
26597900.0,-0.0
26650800.0,1.605598372e-11
26703800.0,1.5692788269e-11
26756800.0,1.5721305816e-11
26809800.0,1.6143674771e-11
26862700.0,1.6173060117e-11
26915700.0,1.6202611243e-11
26968700.0,1.6232266868e-11
27021700.0,1.586540102e-11
27074600.0,1.6291853526e-11
27127600.0,1.6321838541e-11
27130480.0,1.6323471657e-11
27180600.0,1.635192755e-11
27233600.0,1.6781707002e-11
27286500.0,1.6412399892e-11
27339500.0,1.6843872127e-11
27392500.0,1.6875158555e-11
27445400.0,1.6101430664e-11
27498400.0,1.7341311129e-11
27551400.0,1.6565620705e-11
27604400.0,1.7001418123e-11
27657300.0,1.662768211e-11
27710300.0,1.7065228541e-11
27763300.0,1.6690261611e-11
27816300.0,1.7129577512e-11
27869200.0,1.6753253109e-11
27922200.0,1.6784959114e-11
27975200.0,1.763711457e-11
28028200.0,1.7259672803e-11
28081100.0,1.7704183687e-11
28134100.0,1.7325428492e-11
28187100.0,1.7771828025e-11
28240100.0,1.7391757594e-11
28293000.0,1.7839925445e-11
28329600.0,1.7448151604e-11
28346000.0,1.7874206033e-11
28399000.0,1.7908608456e-11
28452000.0,1.7525872534e-11
28504900.0,1.7141587094e-11
28557900.0,1.801257199e-11
28610900.0,1.8047513157e-11
28663900.0,1.8082591604e-11
28716800.0,1.8539085176e-11
28769800.0,1.8575251447e-11
28822800.0,1.861156127e-11
28875800.0,1.8224204605e-11
28928700.0,1.8259907489e-11
28981700.0,1.8721298258e-11
29034700.0,1.8758179072e-11
29087700.0,1.8795215305e-11
29140600.0,1.8832320737e-11
29193600.0,1.8869647635e-11
29246600.0,1.8907112561e-11
29299600.0,1.8514175757e-11
29352500.0,1.8982437279e-11
29405500.0,1.9020360133e-11
29458500.0,1.9489414658e-11
29511500.0,1.9528499888e-11
29528660.0,1.9106931833e-11
29564400.0,1.9132829931e-11
29617400.0,1.9171350228e-11
29670400.0,1.9210026155e-11
29723400.0,1.9686335234e-11
29776300.0,1.8849419566e-11
29829300.0,1.9766173489e-11
29882300.0,1.9806365059e-11
29935300.0,1.9846736348e-11
29988200.0,1.9887190751e-11
30041200.0,2.0370722153e-11
30094200.0,1.9968739741e-11
30147200.0,2.0009769239e-11
30200100.0,2.0050880912e-11
30253100.0,2.0092242426e-11
30306100.0,2.0581175013e-11
30359100.0,2.0623806125e-11
30412000.0,2.066653465e-11
30465000.0,2.1159729375e-11
30518000.0,2.0752690509e-11
30571000.0,2.0796031351e-11
30623900.0,2.0839474633e-11
30676900.0,2.1337165361e-11
30727780.0,2.0925315698e-11
30729900.0,2.1382010824e-11
30782900.0,2.1427041425e-11
30835800.0,2.055846438e-11
30888800.0,2.1517592004e-11
30941800.0,2.1563199929e-11
30994800.0,2.1149225371e-11
31047700.0,2.119415985e-11
31100700.0,2.1701086872e-11
31153700.0,2.1747466149e-11
31206700.0,2.1794046122e-11
31259600.0,2.1840743545e-11
31312600.0,2.1887722782e-11
31365600.0,2.2401609987e-11
31418600.0,2.2449992501e-11
31471500.0,2.2498511129e-11
31524500.0,2.2077586661e-11
31577500.0,2.2596353084e-11
31630500.0,2.2645589321e-11
31683400.0,2.2694950002e-11
31736400.0,2.3218465432e-11
31789400.0,2.3269382433e-11
31842400.0,2.3320533163e-11
31895300.0,2.2417857102e-11
31926860.0,2.2447299185e-11
31948300.0,2.2945375132e-11
32001300.0,2.2517056919e-11
32054300.0,2.3047132929e-11
32107200.0,2.3098254498e-11
32160200.0,2.3632000594e-11
32213200.0,2.3684784753e-11
32266200.0,2.3737771909e-11
32319100.0,2.379089566e-11
32372100.0,2.3844350892e-11
