UTC,downhole pressure [kPa],CO2 partial pressure [kPa],pH
05/05/2023 23:40:24.940,302.57,2.43910838712715,7.1419
05/06/2023 00:16:57.350,302.76,2.4592441795474,7.1416
05/06/2023 00:53:30.300,302.96,2.52720558784845,7.142
05/06/2023 01:30:03.680,303.05,2.52414851657609,7.142
05/06/2023 02:06:37.540,303.34,2.47709431885168,7.1418
05/06/2023 02:43:11.810,303.44,2.53709166992663,7.1416
05/06/2023 03:19:46.410,303.63,2.51037594860183,7.1419
05/06/2023 03:56:21.120,303.73,2.49604071480583,7.1417
05/06/2023 04:32:55.650,304.02,2.5210062386763,7.1419
05/06/2023 05:09:30.380,304.31,2.56229757943481,7.1419
05/06/2023 05:46:05.290,304.21,2.51022465725349,7.1425
05/06/2023 06:22:40.470,303.82,2.53927413028695,7.142
05/06/2023 06:59:15.800,304.31,2.51529697174008,7.142
05/06/2023 07:35:51.290,304.31,2.49942841696239,7.1418
05/06/2023 08:12:27.470,304.31,2.50874445698033,7.1416
05/06/2023 08:49:04.430,304.5,2.48729720981731,7.1418
05/06/2023 09:25:41.830,304.88,2.43197745335603,7.1419
05/06/2023 10:02:19.310,304.5,2.35949237671715,7.1418
05/06/2023 10:38:56.680,304.88,2.4045140321499,7.1418
05/06/2023 11:15:33.950,304.98,2.40436224744599,7.1418
05/06/2023 11:52:11.710,304.98,2.3899265570484,7.1418
05/06/2023 12:28:49.690,304.88,2.29204297867338,7.1418
05/06/2023 13:05:27.720,304.88,2.32200756613923,7.1418
05/06/2023 13:42:06.490,304.4,2.24109057648953,7.1417
05/06/2023 14:18:45.850,303.63,2.19863834008425,7.1403
05/06/2023 14:55:25.300,304.59,2.19774010227494,7.1403
05/06/2023 15:32:05.290,304.79,2.14379879594098,7.1407
05/06/2023 16:08:44.830,305.08,2.20177905411184,7.1414
05/06/2023 16:45:24.460,305.37,2.16228229802336,7.142
05/06/2023 17:22:04.200,306.62,2.13207296546848,7.1422
05/06/2023 17:58:44.500,306.62,2.12769730571776,7.1422
05/06/2023 18:35:25.430,307,2.19142624723226,7.1425
05/06/2023 19:12:06.930,307.2,2.17379102468747,7.1423
05/06/2023 19:48:48.490,307.2,2.23847528848391,7.1422
05/06/2023 20:25:30.090,307,2.18989794796888,7.1421
05/06/2023 21:02:11.910,307,2.19132448723248,7.1423
05/06/2023 21:38:53.530,307.49,2.22126628080471,7.1422
05/06/2023 22:15:35.700,307.97,2.18558597161059,7.1421
05/06/2023 22:52:18.140,307.78,2.29939012855321,7.1421
05/06/2023 23:29:01.320,308.45,1.52352833172223,7.1422
05/07/2023 00:05:44.880,308.64,2.04715785237329,7.1421
05/07/2023 00:42:28.660,308.84,2.10329553265766,7.1421
05/07/2023 01:19:12.210,308.55,2.1553463756716,7.1422
05/07/2023 01:55:56.790,308.64,2.13770263095339,7.1424
05/07/2023 02:32:41.300,309.41,2.1827919457154,7.1421
05/07/2023 03:09:25.810,309.12,2.2077497865577,7.1422
05/07/2023 03:46:10.340,309.7,2.20390782248967,7.1419
05/07/2023 04:22:55.820,309.99,2.20024177702771,7.1422
05/07/2023 04:59:41.590,310.28,2.21873719811846,7.1423
05/07/2023 05:36:26.700,309.99,2.17928544247644,7.1423
05/07/2023 06:13:13.020,310.18,2.260343243039,7.1422
05/07/2023 06:49:59.510,310.28,2.29778341036057,7.1423
05/07/2023 07:26:45.810,310.47,2.27746230288809,7.1423
05/07/2023 08:03:32.890,310.57,2.25340781740095,7.1422
05/07/2023 08:40:20.240,310.67,2.28300255079052,7.142
05/07/2023 09:17:07.100,309.99,2.30795187539746,7.1421
05/07/2023 09:53:54.410,310.09,2.26515430460649,7.1418
05/07/2023 10:30:42.570,310.38,2.27868287425138,7.142
05/07/2023 11:07:30.580,310.57,2.25734945495493,7.1422
05/07/2023 11:44:19.010,310.76,2.26091935800115,7.1421
05/07/2023 12:21:07.800,311.05,2.27022618357664,7.1421
05/07/2023 12:57:56.010,311.05,2.19975046575763,7.1422
05/07/2023 13:34:45.230,311.15,2.23546479283291,7.142
05/07/2023 14:11:34.990,311.05,2.24758792125477,7.1421
05/07/2023 14:48:24.330,311.15,2.20801359382798,7.1421
05/07/2023 15:25:15.010,310.96,2.23962311569149,7.1421
05/07/2023 16:02:05.130,311.34,2.22783196832628,7.142
05/07/2023 16:38:55.720,311.34,2.23530886343933,7.1423
05/07/2023 17:15:46.490,311.15,2.23451321112695,7.1423
05/07/2023 17:52:37.090,311.24,2.21959612499069,7.1424
05/07/2023 18:29:28.720,311.73,2.22070614175388,7.1422
05/07/2023 19:06:20.460,311.63,2.271711993663,7.1421
05/07/2023 19:43:11.930,312.02,2.32529496241612,7.1421
05/07/2023 20:20:04.330,312.21,2.30264763991375,7.1423
05/07/2023 20:56:56.830,311.82,2.32085748541485,7.1424
05/07/2023 21:33:49.170,311.73,2.33825119165959,7.1421
05/07/2023 22:10:42.350,311.73,2.37497814940365,7.1423
05/07/2023 22:47:35.230,311.92,2.40286617478324,7.1422
05/07/2023 23:24:28.870,312.02,2.37787271899801,7.1421
05/08/2023 00:01:23.190,312.11,2.4261205940256,7.1424
05/08/2023 00:38:17.230,312.11,2.41696625210377,7.1421
05/08/2023 01:15:11.490,311.73,2.42958139804003,7.1423
05/08/2023 01:52:05.640,311.24,2.47313776180152,7.1421
05/08/2023 02:29:00.130,311.15,2.47826400479616,7.1421
05/08/2023 03:05:55.250,311.15,2.43094551145446,7.1425
05/08/2023 03:42:50.280,311.15,2.45312654610466,7.1426
05/08/2023 04:19:45.420,311.44,2.47567293486557,7.1426
05/08/2023 04:56:41.160,311.44,2.47545290208072,7.1423
05/08/2023 05:33:37.630,311.24,2.48422296718294,7.1423
05/08/2023 06:10:33.630,311.05,2.41882447388834,7.1423
05/08/2023 06:47:30.260,310.76,2.42539698661935,7.1424
05/08/2023 07:24:27.090,310.86,2.43444517641313,7.1424
05/08/2023 07:53:19.060,311.24,2.36051142203882,7.1421
05/08/2023 09:16:41.710,310.38,2.36045307666067,7.1422
