Time (days),TimeElapsed,Gas Pressure (MPa),Water Injection Rate (kg/s)
0.0,0.0,,0.0
7.457337962965539,644314.0000002226,2.0012883548479996,0.0
14.9088773148178,1288127.000000258,2.0067961139439996,0.0
22.359490740738693,1931859.999999823,2.251891393716,0.0
29.834328703705978,2577686.0000001965,2.251891393716,0.0
37.31438657407125,3223962.999999756,1.5496521089759998,0.0
44.79480324074393,3870271.0000002757,1.5551598680719998,0.0
52.25971064814803,4515238.99999999,2.0136808128139996,0.0
59.74626157407329,5162076.999999932,2.024696331006,0.0
67.22817129629402,5808513.9999998035,2.02607327078,0.0
74.79355324074277,6462163.000000175,2.030204090102,0.0
82.29575231481431,7110352.999999956,2.0136808128139996,0.0
89.80577546296263,7759218.999999971,2.034334909424,0.0
97.22505787036789,8400244.999999786,2.0136808128139996,0.0
104.64618055555911,9041430.000000307,2.03295796965,0.0
112.0595486111124,9681945.000000112,2.0136808128139996,0.0
119.46910879629286,10322130.999999702,2.017811632136,0.0
126.89219907407096,10963485.999999732,2.03295796965,0.0
134.2999074074105,11603512.000000268,2.0219424514579996,0.0
141.6942013888911,12242379.00000019,2.020565511684,0.0
149.10567129629635,12882730.000000004,2.0136808128139996,0.0
156.51362268518278,13522776.999999791,2.034334909424,0.0
163.91723379629548,14162448.99999993,2.0136808128139996,0.0
171.33306712962803,14803176.999999862,2.023319391232,0.0
176.94677083333227,15288200.999999907,2.017811632136,0.0
180.64768518518395,15607959.999999892,2.0136808128139996,0.0
184.3543055555565,15928212.000000082,2.0136808128139996,0.0
188.04943287037167,16247471.000000112,2.017811632136,0.0
191.74791666666715,16567020.000000041,2.0976741390279994,0.0
195.41005787037284,16883429.000000212,2.0976741390279994,0.0
199.11583333333692,17203608.00000031,2.0976741390279994,0.0
202.82032407407678,17523676.000000235,2.0976741390279994,0.0
205.00371527778043,17712321.00000023,,0.0
205.19528935185372,17728873.00000016,2.0976741390279994,0.0
205.37932870370423,17744774.000000045,2.0976741390279994,0.0
205.56393518518598,17760724.000000067,2.0976741390279994,0.0
205.7487847222219,17776694.99999997,2.0976741390279994,0.0
205.93188657407154,17792514.99999978,2.0976741390279994,0.0
206.11685185185343,17808496.000000134,2.0976741390279994,0.0
206.30122685185052,17824425.999999885,2.103181898124,0.0
206.4863078703711,17840417.000000063,2.10868965722,2.7943221186607048e-08
206.67195601851563,17856456.99999975,2.1128204765420002,2.791148254418381e-08
206.8562152777813,17872377.000000305,2.1183282356379998,2.7955615200031786e-08
207.04210648148,17888437.999999873,2.1238359947339998,2.7924658365735976e-08
207.2270601851851,17904417.999999993,2.126589874282,2.7930475719441508e-08
207.41318287036847,17920498.999999836,2.1307206936039997,2.7939537093732996e-08
207.59813657407358,17936478.999999955,2.1362284526999997,2.794048535648753e-08
207.7843750000029,17952570.000000253,2.1403592720219997,2.7924111738967115e-08
207.96875,17968500.0,2.1444900913439997,2.7914005524609667e-08
208.15429398148262,17984531.000000097,2.1499978504399997,2.7957085771150462e-08
208.34052083333518,18000621.00000016,2.1541286697619997,2.7939727408217695e-08
208.52443287037022,18016510.999999985,2.1582594890839997,2.792811743265412e-08
208.71020833333023,18032561.99999973,2.1637672481799997,2.793610167635093e-08
208.89542824074306,18048565.0000002,2.1678980675019996,2.7924216458595276e-08
209.08178240741108,18064666.000000317,2.1775366459199996,4.5811956648324477e-08
209.26604166666948,18080586.000000242,2.1899291038859996,6.986189748776634e-08
209.45135416666744,18096597.000000067,2.200944622078,6.985338280008905e-08
209.63642361111124,18112587.00000001,2.2160909595920004,6.98613208257604e-08
209.82231481481722,18128648.00000021,2.229860357332,6.98484446787991e-08
210.00796296296176,18144687.999999896,2.243629755072,6.985233753253561e-08
210.19292824074364,18160669.00000025,2.256022213038,6.984677954917007e-08
210.37846064814948,18176699.000000115,2.269791610778,6.981633724325242e-08
210.5640046296321,18192730.000000216,2.282184068744,6.987567687561586e-08
210.74861111111386,18208680.00000024,2.297330406258,6.979855059551231e-08
210.9325231481489,18224570.000000067,2.3110998039979993,6.987331592271751e-08
211.11783564814687,18240580.99999989,2.3262461415119997,6.986136243910317e-08
211.30302083333663,18256581.000000283,2.3386385994779992,6.984953512327628e-08
211.48856481481198,18272611.999999754,2.3551618767659996,6.984781436198349e-08
211.67386574074044,18288621.999999974,2.3703082142799996,6.986572604526127e-08
211.8591782407384,18304632.9999998,2.38407761202,6.983547573619582e-08
212.0450578703676,18320692.99999976,2.4006008893079995,6.985279389804567e-08
212.23141203703562,18336793.999999877,2.4143702870479995,6.983143282975804e-08
212.41625000000204,18352764.000000175,2.430893564336,6.985488879017961e-08
212.6024768518546,18368854.00000024,2.4474168416239994,6.987123293943963e-08
212.78859953703795,18384935.00000008,2.462563179138,6.983301548480721e-08
212.9740162037051,18400955.00000012,2.4790864564260002,6.984798664151908e-08
213.16013888888847,18417035.999999963,2.4942327939399997,6.982901175367914e-08
213.34532407407096,18433035.99999973,2.5107560712279997,6.988946075101047e-08
213.5306365740762,18449047.000000183,2.5272793485159997,6.984339254066034e-08
213.71535879629664,18465007.00000003,2.5438026258039996,6.979074574001599e-08
213.90090277777927,18481038.000000127,2.5617028428659996,6.989161624310658e-08
214.08701388888585,18497117.99999974,2.57684918038,6.984918258874575e-08
214.2731249999997,18513197.999999974,2.596126337216,6.987107935221454e-08
214.45855324074364,18529219.00000025,2.615403494052,6.982968690972918e-08
214.64327546296408,18545179.000000097,2.63192677134,6.982875438663151e-08
214.82858796296205,18561189.99999992,2.651203928176,6.986733146038575e-08
