TimeElapsed,Rate_per_s
0.0,0.0
18068486.400000002,0.0
18324576.0,6.942882491128164e-05
18581011.2,6.941324747928543e-05
18837446.400000002,6.945224368573343e-05
19093968.0,6.942885121564873e-05
19350316.8,6.943664257449205e-05
19606579.2,4.175407707100275e-06
19862150.4,1.3694813813136822e-06
20117894.4,1.3294544544544678e-06
20373552.0,1.329903746260629e-06
20629209.6,5.593418697507856e-06
20885212.8,8.320208497393788e-06
21140956.8,8.328641141141179e-06
21396873.6,8.32301748068118e-06
21652876.8,8.359270509118663e-06
21908275.2,8.339911291535138e-06
22163846.400000002,8.33427240628046e-06
22419676.8,8.325828361289385e-06
22675420.8,8.328641141141123e-06
22931337.599999998,8.323017480681356e-06
23187427.2,8.356450242415109e-06
23443344.0,8.32301748068118e-06
23699692.8,8.308991499082458e-06
23955350.400000002,8.33145582216213e-06
24211267.200000003,8.362092680121018e-06
24468566.400000002,8.317165385667707e-06
24726902.4,8.322494735538355e-06
24985411.2,8.355614973261995e-06
25243574.4,8.328065347811044e-06
25502256.0,8.31137583809592e-06
25771046.400000002,8.370834672666811e-06
26027222.4,8.31459621510222e-06
26715916.8,3.107328882012079e-06
26972438.4,8.30339433404455e-06
27229046.400000002,8.339568524753536e-06
27485136.0,8.356450242415285e-06
27740793.6,8.331455822162076e-06
27996451.200000003,8.331455822162076e-06
28252281.6,8.325828361289385e-06
28508025.6,8.328641141141123e-06
28763683.2,8.331455822162196e-06
29019600.0,8.32301748068118e-06
29275516.8,8.32301748068129e-06
29534544.0,8.223074642354168e-06
29790201.599999998,8.331455822162196e-06
30045945.6,8.328641141141002e-06
30302985.599999998,8.364456893868801e-06
30562963.2,8.308408109006254e-06
30821299.2,8.361204013377913e-06
31080240.000000004,8.303056142562194e-06
31339612.799999997,8.327781479014192e-06
31598640.000000004,8.338892595063147e-06
31857840.000000004,8.33333333333332e-06
32116780.799999997,8.341675008341879e-06
32382892.8,8.342352092351972e-06
32640969.599999998,8.330853451375833e-06
32899219.200000003,8.32527910982229e-06
33157900.8,6.185209926024811e-07
33674486.4,0.0
33931785.6,0.0
34190294.4,3.8683402654066095e-08
34707657.6,7.741855567946486e-08
35225366.4,0.0
35483875.199999996,3.868340265395615e-08
35742988.8,0.0
36260438.4,7.723773155864986e-08
37035792.0,3.869633592130931e-08
37294560.0,0.0
37552982.4,3.869633592130931e-08
37811059.199999996,0.0
38069136.0,0.0
38327817.6,0.0
38586326.4,0.0
38844835.2,0.0
39103603.2,0.0
