t_utc,P at 29m [bar],P at 31m [bar],P at 34.9m [bar],P at 42.2m [bar],T at 29m [C],T at 31m [C],T at 34.9m [C],T at 42.2m [C]
2023-05-08 01:40:00+00:00,0.41748305333333335,0.2239483466666667,0.5311913966666666,1.1047789933333334,16.87827063,17.033591943333334,17.077242820000002,17.302512816666667
2023-05-08 01:45:00+00:00,0.41746064,0.22389771666666666,0.5310178099999999,1.1046692,16.878255366666664,17.03330176,17.07770203333333,17.30286200666667
2023-05-08 01:50:00+00:00,0.41740712333333335,0.22380500333333336,0.5309787133333334,1.1045940833333332,16.87796789,16.977119376666668,17.077366953333332,17.302824126666668
2023-05-08 01:55:00+00:00,0.4173627733333333,0.22371488666666664,0.5308933466666667,1.10452743,16.877882843333335,16.977109013333333,17.0776772,17.30250225
2023-05-08 02:00:00+00:00,0.4172989266666667,0.22366396,0.5307829833333333,1.1043758566666666,16.87830094,15.671503743333332,17.077726863333336,17.30278773
2023-05-08 02:05:00+00:00,0.41719203666666665,0.22344678333333334,0.5307303966666667,1.10428878,16.87790747333333,17.033635439999998,17.077478613333334,17.302489806666667
2023-05-08 02:10:00+00:00,0.41713217,0.22336501333333336,0.5305562366666667,1.10415884,16.878334713333334,17.033998043333334,17.078012320000003,17.30281152
2023-05-08 02:15:00+00:00,0.4170746633333333,0.22330160666666668,0.5305958133333333,1.10406607,16.878455566666666,17.033576866666667,17.077304813333335,17.30266362
2023-05-08 02:20:00+00:00,0.4169920167785235,0.22325659060402683,0.5305294731543624,1.1039629362416108,16.878166610738255,17.034319617449665,17.077916110738258,17.302961419463088
2023-05-08 02:25:00+00:00,0.41695447333333335,0.22320369333333331,0.53047517,1.1038613533333335,16.87793757333333,17.034057436666664,17.07766476,17.303022323333334
2023-05-08 02:30:00+00:00,0.41687102666666664,0.2231491733333333,0.5303695666666667,1.1037434133333333,16.878548136666666,17.034068823333335,17.077826103333333,17.30305958
2023-05-08 02:35:00+00:00,0.41684113666666667,0.22304669666666666,0.5303286366666666,1.1036541566666667,16.877973786666665,17.03401107,17.078099156666667,17.302998346666666
2023-05-08 02:40:00+00:00,0.41677561333333335,0.2229713866666667,0.5302525233333334,1.1035531066666666,16.87873226,17.033528039999997,17.07776405666667,17.30308418666667
2023-05-08 02:45:00+00:00,0.41668405,0.22287557333333335,0.53022173,1.10345996,16.87850541,17.03408636,17.07796267,17.30300992333333
2023-05-08 02:50:00+00:00,0.41665124000000003,0.22278030666666665,0.5301432266666667,1.1033235266666666,16.878265126666665,16.806679086666666,17.077826153333334,17.30267599
2023-05-08 02:55:00+00:00,0.4166070333333334,0.22269328666666666,0.5301208633333333,1.1032853500000002,16.878241526666663,-9.903520314283039e+25,17.078248163333335,17.303160119999998
2023-05-08 03:00:00+00:00,0.41654775666666666,0.22264715,0.5300250733333333,1.10314317,16.878421386666666,16.409740036666665,17.077205586666665,17.30272564
2023-05-08 03:05:00+00:00,0.41648203,0.22259356000000002,0.5298321433333334,1.1030363666666667,16.877856606666665,-1.70141183460469e+36,17.07696975,17.30214227333333
2023-05-08 03:10:00+00:00,0.41640772575250834,0.22250163879598664,0.5297594280936455,1.102939789297659,16.87789371237458,17.033708949832775,17.077291896321068,17.300987869565216
2023-05-08 03:15:00+00:00,0.41635186333333335,0.22242219666666666,0.52974042,1.1028033533333332,16.877972356666668,17.034072923333333,17.077714456666666,17.301136923333335
2023-05-08 03:20:00+00:00,0.41630021333333334,0.22232687666666667,0.5296881266666666,1.10269149,16.878423006666665,17.03393127,17.077838623333335,17.301720246666665
2023-05-08 03:25:00+00:00,0.41623397333333334,0.22229271000000003,0.5296403233333333,1.1025814266666667,16.878466546666665,17.033850743333332,17.077900596666666,17.30216714
2023-05-08 03:30:00+00:00,0.41617771666666664,0.22222732666666667,0.5295636566666667,1.1024783533333333,16.878377236666665,17.034045640000002,17.07799987,17.302576306666666
2023-05-08 03:35:00+00:00,0.41612455666666665,0.22216650999999998,0.5295314200000001,1.102383,-1.1342745564031267e+36,17.033840176666665,17.07811157,17.302601156666665
2023-05-08 03:40:00+00:00,0.41608379333333334,0.22211804666666665,0.5295102366666666,1.1023055733333333,-5.538449982437133e+32,17.034172216666665,17.07690678666667,17.303258993333333
2023-05-08 03:45:00+00:00,0.4160103866666667,0.22203957333333335,0.5292921166666666,1.1021793866666667,16.878188836666666,17.03382018,17.0774538,17.30304779
2023-05-08 03:50:00+00:00,0.41594843000000004,0.22195136333333332,0.52921341,1.10200964,16.878260653333335,17.033648056666667,17.077739313333332,17.13004889333333
2023-05-08 03:55:00+00:00,0.4159487666666667,0.2219022333333333,0.5292013033333334,1.1019586433333335,16.878593106666667,17.03423079,17.078061899999998,-8.374690218443202e+36
2023-05-08 04:00:00+00:00,0.4159031066666667,0.22189969333333331,0.5291531233333333,1.1019210266666666,16.87789220333333,17.033627333333335,17.07638642666667,-3.323134178642e+33
2023-05-08 04:05:00+00:00,0.41581044333333333,0.22182100999999999,0.5290804166666666,1.10176512,16.87689225333333,17.033384636666668,17.07659704,-2.83568639100782e+35
2023-05-08 04:10:00+00:00,0.4157466266666667,0.22173588666666666,0.52898966,1.1016579066666665,16.877629756666664,-1.66153499473114e+33,17.075438600000002,17.30205541
2023-05-08 04:15:00+00:00,0.41567958666666666,0.22158721,0.5289791366666666,1.1015851266666665,16.877330689999997,16.692466823333334,17.077081510000003,17.302204376666666
2023-05-08 04:20:00+00:00,0.41557989333333334,0.22153574333333334,0.5288551666666667,1.1014555433333333,16.877700956666665,17.033517883333335,17.07711871,17.302651203333333
