"              ELEM","                 X","                 Y","                 Z","             SAT_G","             SAT_L","             SAT_S","              PRES","           PCAP_GL","             DEN_G","             DEN_L","             DEN_S","             VIS_G","             VIS_L","             VIS_S"
"                  ","               (M)","               (M)","               (M)","               (-)","               (-)","               (-)","              (PA)","              (PA)","         (KG/M**3)","         (KG/M**3)","         (KG/M**3)","            (PA*S)","            (PA*S)","            (PA*S)"
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39962945199E+000,  0.60037054801E+000,  0.00000000000E+000,  0.35040598199E+007,  0.00000000000E+000,  0.84544842338E+002,  0.10092173138E+004,  0.21614094323E+004,  0.15573981632E-004,  0.11368823998E-002,  0.10000000000E+001
"TIME [sec]  0.87272700E+05"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39965394630E+000,  0.60034605370E+000,  0.00000000000E+000,  0.35045115898E+007,  0.00000000000E+000,  0.84560059352E+002,  0.10092182854E+004,  0.21614094713E+004,  0.15574257228E-004,  0.11368821257E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39962571392E+000,  0.60037428608E+000,  0.00000000000E+000,  0.35045115898E+007,  0.00000000000E+000,  0.84560059352E+002,  0.10092182854E+004,  0.21614094713E+004,  0.15574257228E-004,  0.11368821257E-002,  0.10000000000E+001
"TIME [sec]  0.96000000E+05"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39965303241E+000,  0.60034696759E+000,  0.00000000000E+000,  0.35049633948E+007,  0.00000000000E+000,  0.84575277548E+002,  0.10092192569E+004,  0.21614095104E+004,  0.15574532845E-004,  0.11368818515E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39962197644E+000,  0.60037802356E+000,  0.00000000000E+000,  0.35049633948E+007,  0.00000000000E+000,  0.84575277548E+002,  0.10092192569E+004,  0.21614095104E+004,  0.15574532845E-004,  0.11368818515E-002,  0.10000000000E+001
"TIME [sec]  0.10472700E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39965211868E+000,  0.60034788132E+000,  0.00000000000E+000,  0.35054152194E+007,  0.00000000000E+000,  0.84590496404E+002,  0.10092202282E+004,  0.21614095495E+004,  0.15574808473E-004,  0.11368815773E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39961823968E+000,  0.60038176032E+000,  0.00000000000E+000,  0.35054152194E+007,  0.00000000000E+000,  0.84590496404E+002,  0.10092202282E+004,  0.21614095495E+004,  0.15574808473E-004,  0.11368815773E-002,  0.10000000000E+001
"TIME [sec]  0.11345400E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39965120510E+000,  0.60034879490E+000,  0.00000000000E+000,  0.35058670791E+007,  0.00000000000E+000,  0.84605716443E+002,  0.10092211994E+004,  0.21614095885E+004,  0.15575084124E-004,  0.11368813031E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39961450350E+000,  0.60038549650E+000,  0.00000000000E+000,  0.35058670791E+007,  0.00000000000E+000,  0.84605716443E+002,  0.10092211994E+004,  0.21614095885E+004,  0.15575084124E-004,  0.11368813031E-002,  0.10000000000E+001
"TIME [sec]  0.12218100E+06"
