"              ELEM","                 X","                 Y","                 Z","             SAT_G","             SAT_L","             SAT_S","              PRES","           PCAP_GL","             DEN_G","             DEN_L","             DEN_S","             VIS_G","             VIS_L","             VIS_S"
"                  ","               (M)","               (M)","               (M)","               (-)","               (-)","               (-)","              (PA)","              (PA)","         (KG/M**3)","         (KG/M**3)","         (KG/M**3)","            (PA*S)","            (PA*S)","            (PA*S)"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39962749982E+000,  0.60037250018E+000,  0.00000000000E+000,  0.35176281252E+007,  0.00000000000E+000,  0.85001864992E+002,  0.10092464100E+004,  0.21614106054E+004,  0.15582258773E-004,  0.11368741668E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39951756664E+000,  0.60048243336E+000,  0.00000000000E+000,  0.35176281252E+007,  0.00000000000E+000,  0.85001864992E+002,  0.10092464100E+004,  0.21614106054E+004,  0.15582258773E-004,  0.11368741668E-002,  0.10000000000E+001
"TIME [sec]  0.34909000E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39962658998E+000,  0.60037341002E+000,  0.00000000000E+000,  0.35180809336E+007,  0.00000000000E+000,  0.85017116986E+002,  0.10092473780E+004,  0.21614106445E+004,  0.15582535002E-004,  0.11368738921E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39951384636E+000,  0.60048615364E+000,  0.00000000000E+000,  0.35180809336E+007,  0.00000000000E+000,  0.85017116986E+002,  0.10092473780E+004,  0.21614106445E+004,  0.15582535002E-004,  0.11368738921E-002,  0.10000000000E+001
"TIME [sec]  0.35781800E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39962568019E+000,  0.60037431981E+000,  0.00000000000E+000,  0.35185338291E+007,  0.00000000000E+000,  0.85032371913E+002,  0.10092483460E+004,  0.21614106837E+004,  0.15582811284E-004,  0.11368736173E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39951012624E+000,  0.60048987376E+000,  0.00000000000E+000,  0.35185338291E+007,  0.00000000000E+000,  0.85032371913E+002,  0.10092483460E+004,  0.21614106837E+004,  0.15582811284E-004,  0.11368736173E-002,  0.10000000000E+001
"TIME [sec]  0.36654500E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39962477064E+000,  0.60037522936E+000,  0.00000000000E+000,  0.35189867079E+007,  0.00000000000E+000,  0.85047626276E+002,  0.10092493138E+004,  0.21614107228E+004,  0.15583087556E-004,  0.11368733425E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39950640714E+000,  0.60049359286E+000,  0.00000000000E+000,  0.35189867079E+007,  0.00000000000E+000,  0.85047626276E+002,  0.10092493138E+004,  0.21614107228E+004,  0.15583087556E-004,  0.11368733425E-002,  0.10000000000E+001
"TIME [sec]  0.37527200E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39962386123E+000,  0.60037613877E+000,  0.00000000000E+000,  0.35194396218E+007,  0.00000000000E+000,  0.85062881823E+002,  0.10092502815E+004,  0.21614107620E+004,  0.15583363850E-004,  0.11368730677E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39950268862E+000,  0.60049731138E+000,  0.00000000000E+000,  0.35194396218E+007,  0.00000000000E+000,  0.85062881823E+002,  0.10092502815E+004,  0.21614107620E+004,  0.15583363850E-004,  0.11368730677E-002,  0.10000000000E+001
"TIME [sec]  0.38400000E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39962295186E+000,  0.60037704814E+000,  0.00000000000E+000,  0.35198926228E+007,  0.00000000000E+000,  0.85078140304E+002,  0.10092512491E+004,  0.21614108011E+004,  0.15583640196E-004,  0.11368727929E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39949897027E+000,  0.60050102973E+000,  0.00000000000E+000,  0.35198926228E+007,  0.00000000000E+000,  0.85078140304E+002,  0.10092512491E+004,  0.21614108011E+004,  0.15583640196E-004,  0.11368727929E-002,  0.10000000000E+001
"TIME [sec]  0.39272700E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39962204273E+000,  0.60037795727E+000,  0.00000000000E+000,  0.35203456071E+007,  0.00000000000E+000,  0.85093398221E+002,  0.10092522166E+004,  0.21614108403E+004,  0.15583916532E-004,  0.11368725180E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39949525293E+000,  0.60050474707E+000,  0.00000000000E+000,  0.35203456071E+007,  0.00000000000E+000,  0.85093398221E+002,  0.10092522166E+004,  0.21614108403E+004,  0.15583916532E-004,  0.11368725180E-002,  0.10000000000E+001
"TIME [sec]  0.40145400E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39962113374E+000,  0.60037886626E+000,  0.00000000000E+000,  0.35207986266E+007,  0.00000000000E+000,  0.85108657322E+002,  0.10092531839E+004,  0.21614108795E+004,  0.15584192890E-004,  0.11368722432E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39949153618E+000,  0.60050846382E+000,  0.00000000000E+000,  0.35207986266E+007,  0.00000000000E+000,  0.85108657322E+002,  0.10092531839E+004,  0.21614108795E+004,  0.15584192890E-004,  0.11368722432E-002,  0.10000000000E+001
"TIME [sec]  0.41018100E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39962022489E+000,  0.60037977511E+000,  0.00000000000E+000,  0.35212516812E+007,  0.00000000000E+000,  0.85123917608E+002,  0.10092541511E+004,  0.21614109186E+004,  0.15584469269E-004,  0.11368719683E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39948782001E+000,  0.60051217999E+000,  0.00000000000E+000,  0.35212516812E+007,  0.00000000000E+000,  0.85123917608E+002,  0.10092541511E+004,  0.21614109186E+004,  0.15584469269E-004,  0.11368719683E-002,  0.10000000000E+001
"TIME [sec]  0.41890900E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39961931608E+000,  0.60038068392E+000,  0.00000000000E+000,  0.35217048229E+007,  0.00000000000E+000,  0.85139180828E+002,  0.10092551183E+004,  0.21614109578E+004,  0.15584745702E-004,  0.11368716934E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39948410401E+000,  0.60051589599E+000,  0.00000000000E+000,  0.35217048229E+007,  0.00000000000E+000,  0.85139180828E+002,  0.10092551183E+004,  0.21614109578E+004,  0.15584745702E-004,  0.11368716934E-002,  0.10000000000E+001
"TIME [sec]  0.42763600E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39961840752E+000,  0.60038159248E+000,  0.00000000000E+000,  0.35221579478E+007,  0.00000000000E+000,  0.85154443484E+002,  0.10092560853E+004,  0.21614109970E+004,  0.15585022124E-004,  0.11368714185E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39948038902E+000,  0.60051961098E+000,  0.00000000000E+000,  0.35221579478E+007,  0.00000000000E+000,  0.85154443484E+002,  0.10092560853E+004,  0.21614109970E+004,  0.15585022124E-004,  0.11368714185E-002,  0.10000000000E+001
"TIME [sec]  0.43636300E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39961749909E+000,  0.60038250091E+000,  0.00000000000E+000,  0.35226111080E+007,  0.00000000000E+000,  0.85169707324E+002,  0.10092570521E+004,  0.21614110362E+004,  0.15585298567E-004,  0.11368711436E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39947667462E+000,  0.60052332538E+000,  0.00000000000E+000,  0.35226111080E+007,  0.00000000000E+000,  0.85169707324E+002,  0.10092570521E+004,  0.21614110362E+004,  0.15585298567E-004,  0.11368711436E-002,  0.10000000000E+001
"TIME [sec]  0.44509000E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39961659081E+000,  0.60038340919E+000,  0.00000000000E+000,  0.35230643033E+007,  0.00000000000E+000,  0.85184972350E+002,  0.10092580189E+004,  0.21614110753E+004,  0.15585575032E-004,  0.11368708686E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39947296081E+000,  0.60052703919E+000,  0.00000000000E+000,  0.35230643033E+007,  0.00000000000E+000,  0.85184972350E+002,  0.10092580189E+004,  0.21614110753E+004,  0.15585575032E-004,  0.11368708686E-002,  0.10000000000E+001
"TIME [sec]  0.45381800E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39961568256E+000,  0.60038431744E+000,  0.00000000000E+000,  0.35235175857E+007,  0.00000000000E+000,  0.85200240310E+002,  0.10092589856E+004,  0.21614111145E+004,  0.15585851550E-004,  0.11368705936E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39946924717E+000,  0.60053075283E+000,  0.00000000000E+000,  0.35235175857E+007,  0.00000000000E+000,  0.85200240310E+002,  0.10092589856E+004,  0.21614111145E+004,  0.15585851550E-004,  0.11368705936E-002,  0.10000000000E+001
"TIME [sec]  0.46254500E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39961477456E+000,  0.60038522544E+000,  0.00000000000E+000,  0.35239708514E+007,  0.00000000000E+000,  0.85215507705E+002,  0.10092599521E+004,  0.21614111537E+004,  0.15586128058E-004,  0.11368703186E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39946553453E+000,  0.60053446547E+000,  0.00000000000E+000,  0.35239708514E+007,  0.00000000000E+000,  0.85215507705E+002,  0.10092599521E+004,  0.21614111537E+004,  0.15586128058E-004,  0.11368703186E-002,  0.10000000000E+001
"TIME [sec]  0.47127200E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39961386671E+000,  0.60038613329E+000,  0.00000000000E+000,  0.35244241523E+007,  0.00000000000E+000,  0.85230776286E+002,  0.10092609185E+004,  0.21614111929E+004,  0.15586404588E-004,  0.11368700436E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39946182248E+000,  0.60053817752E+000,  0.00000000000E+000,  0.35244241523E+007,  0.00000000000E+000,  0.85230776286E+002,  0.10092609185E+004,  0.21614111929E+004,  0.15586404588E-004,  0.11368700436E-002,  0.10000000000E+001
"TIME [sec]  0.48000000E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39961295889E+000,  0.60038704111E+000,  0.00000000000E+000,  0.35248775403E+007,  0.00000000000E+000,  0.85246047802E+002,  0.10092618848E+004,  0.21614112321E+004,  0.15586681170E-004,  0.11368697686E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39945811059E+000,  0.60054188941E+000,  0.00000000000E+000,  0.35248775403E+007,  0.00000000000E+000,  0.85246047802E+002,  0.10092618848E+004,  0.21614112321E+004,  0.15586681170E-004,  0.11368697686E-002,  0.10000000000E+001
"TIME [sec]  0.48872700E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39961205131E+000,  0.60038794869E+000,  0.00000000000E+000,  0.35253309115E+007,  0.00000000000E+000,  0.85261318753E+002,  0.10092628510E+004,  0.21614112713E+004,  0.15586957743E-004,  0.11368694935E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39945439972E+000,  0.60054560028E+000,  0.00000000000E+000,  0.35253309115E+007,  0.00000000000E+000,  0.85261318753E+002,  0.10092628510E+004,  0.21614112713E+004,  0.15586957743E-004,  0.11368694935E-002,  0.10000000000E+001
"TIME [sec]  0.49745400E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39961114388E+000,  0.60038885612E+000,  0.00000000000E+000,  0.35257843180E+007,  0.00000000000E+000,  0.85276590890E+002,  0.10092638170E+004,  0.21614113105E+004,  0.15587234336E-004,  0.11368692185E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39945068943E+000,  0.60054931057E+000,  0.00000000000E+000,  0.35257843180E+007,  0.00000000000E+000,  0.85276590890E+002,  0.10092638170E+004,  0.21614113105E+004,  0.15587234336E-004,  0.11368692185E-002,  0.10000000000E+001
"TIME [sec]  0.50618100E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39961023659E+000,  0.60038976341E+000,  0.00000000000E+000,  0.35262377596E+007,  0.00000000000E+000,  0.85291864212E+002,  0.10092647829E+004,  0.21614113497E+004,  0.15587510952E-004,  0.11368689434E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39944697974E+000,  0.60055302026E+000,  0.00000000000E+000,  0.35262377596E+007,  0.00000000000E+000,  0.85291864212E+002,  0.10092647829E+004,  0.21614113497E+004,  0.15587510952E-004,  0.11368689434E-002,  0.10000000000E+001
"TIME [sec]  0.51490900E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39960932933E+000,  0.60039067067E+000,  0.00000000000E+000,  0.35266912884E+007,  0.00000000000E+000,  0.85307140470E+002,  0.10092657488E+004,  0.21614113889E+004,  0.15587787620E-004,  0.11368686683E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39944327020E+000,  0.60055672980E+000,  0.00000000000E+000,  0.35266912884E+007,  0.00000000000E+000,  0.85307140470E+002,  0.10092657488E+004,  0.21614113889E+004,  0.15587787620E-004,  0.11368686683E-002,  0.10000000000E+001
"TIME [sec]  0.52363600E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39960842232E+000,  0.60039157768E+000,  0.00000000000E+000,  0.35271448004E+007,  0.00000000000E+000,  0.85322416162E+002,  0.10092667145E+004,  0.21614114281E+004,  0.15588064278E-004,  0.11368683931E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39943956168E+000,  0.60056043832E+000,  0.00000000000E+000,  0.35271448004E+007,  0.00000000000E+000,  0.85322416162E+002,  0.10092667145E+004,  0.21614114281E+004,  0.15588064278E-004,  0.11368683931E-002,  0.10000000000E+001
"TIME [sec]  0.53236300E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39960751546E+000,  0.60039248454E+000,  0.00000000000E+000,  0.35275983476E+007,  0.00000000000E+000,  0.85337693041E+002,  0.10092676801E+004,  0.21614114673E+004,  0.15588340958E-004,  0.11368681180E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39943585374E+000,  0.60056414626E+000,  0.00000000000E+000,  0.35275983476E+007,  0.00000000000E+000,  0.85337693041E+002,  0.10092676801E+004,  0.21614114673E+004,  0.15588340958E-004,  0.11368681180E-002,  0.10000000000E+001
"TIME [sec]  0.54109000E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39960660874E+000,  0.60039339126E+000,  0.00000000000E+000,  0.35280519300E+007,  0.00000000000E+000,  0.85352971105E+002,  0.10092686455E+004,  0.21614115066E+004,  0.15588617659E-004,  0.11368678428E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39943214640E+000,  0.60056785360E+000,  0.00000000000E+000,  0.35280519300E+007,  0.00000000000E+000,  0.85352971105E+002,  0.10092686455E+004,  0.21614115066E+004,  0.15588617659E-004,  0.11368678428E-002,  0.10000000000E+001
"TIME [sec]  0.54981800E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39960570205E+000,  0.60039429795E+000,  0.00000000000E+000,  0.35285055996E+007,  0.00000000000E+000,  0.85368252105E+002,  0.10092696110E+004,  0.21614115458E+004,  0.15588894413E-004,  0.11368675676E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39942843921E+000,  0.60057156079E+000,  0.00000000000E+000,  0.35285055996E+007,  0.00000000000E+000,  0.85368252105E+002,  0.10092696110E+004,  0.21614115458E+004,  0.15588894413E-004,  0.11368675676E-002,  0.10000000000E+001
"TIME [sec]  0.55854500E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39960479561E+000,  0.60039520439E+000,  0.00000000000E+000,  0.35289592524E+007,  0.00000000000E+000,  0.85383532541E+002,  0.10092705762E+004,  0.21614115850E+004,  0.15589171158E-004,  0.11368672924E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39942473304E+000,  0.60057526696E+000,  0.00000000000E+000,  0.35289592524E+007,  0.00000000000E+000,  0.85383532541E+002,  0.10092705762E+004,  0.21614115850E+004,  0.15589171158E-004,  0.11368672924E-002,  0.10000000000E+001
"TIME [sec]  0.56727200E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39960388932E+000,  0.60039611068E+000,  0.00000000000E+000,  0.35294129405E+007,  0.00000000000E+000,  0.85398814162E+002,  0.10092715413E+004,  0.21614116242E+004,  0.15589447923E-004,  0.11368670172E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39942102745E+000,  0.60057897255E+000,  0.00000000000E+000,  0.35294129405E+007,  0.00000000000E+000,  0.85398814162E+002,  0.10092715413E+004,  0.21614116242E+004,  0.15589447923E-004,  0.11368670172E-002,  0.10000000000E+001
"TIME [sec]  0.57600000E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39960298306E+000,  0.60039701694E+000,  0.00000000000E+000,  0.35298667157E+007,  0.00000000000E+000,  0.85414098720E+002,  0.10092725063E+004,  0.21614116635E+004,  0.15589724742E-004,  0.11368667419E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39941732203E+000,  0.60058267797E+000,  0.00000000000E+000,  0.35298667157E+007,  0.00000000000E+000,  0.85414098720E+002,  0.10092725063E+004,  0.21614116635E+004,  0.15589724742E-004,  0.11368667419E-002,  0.10000000000E+001
"TIME [sec]  0.58472700E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39960207705E+000,  0.60039792295E+000,  0.00000000000E+000,  0.35303204741E+007,  0.00000000000E+000,  0.85429382713E+002,  0.10092734712E+004,  0.21614117027E+004,  0.15590001550E-004,  0.11368664667E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39941361762E+000,  0.60058638238E+000,  0.00000000000E+000,  0.35303204741E+007,  0.00000000000E+000,  0.85429382713E+002,  0.10092734712E+004,  0.21614117027E+004,  0.15590001550E-004,  0.11368664667E-002,  0.10000000000E+001
"TIME [sec]  0.59345400E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39960117118E+000,  0.60039882882E+000,  0.00000000000E+000,  0.35307742677E+007,  0.00000000000E+000,  0.85444667892E+002,  0.10092744359E+004,  0.21614117419E+004,  0.15590278380E-004,  0.11368661914E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39940991380E+000,  0.60059008620E+000,  0.00000000000E+000,  0.35307742677E+007,  0.00000000000E+000,  0.85444667892E+002,  0.10092744359E+004,  0.21614117419E+004,  0.15590278380E-004,  0.11368661914E-002,  0.10000000000E+001
"TIME [sec]  0.60218100E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39960026545E+000,  0.60039973455E+000,  0.00000000000E+000,  0.35312280966E+007,  0.00000000000E+000,  0.85459954257E+002,  0.10092754005E+004,  0.21614117812E+004,  0.15590555232E-004,  0.11368659161E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39940621056E+000,  0.60059378944E+000,  0.00000000000E+000,  0.35312280966E+007,  0.00000000000E+000,  0.85459954257E+002,  0.10092754005E+004,  0.21614117812E+004,  0.15590555232E-004,  0.11368659161E-002,  0.10000000000E+001
"TIME [sec]  0.61090900E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39959935977E+000,  0.60040064023E+000,  0.00000000000E+000,  0.35316820127E+007,  0.00000000000E+000,  0.85475243559E+002,  0.10092763652E+004,  0.21614118204E+004,  0.15590832137E-004,  0.11368656407E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39940250749E+000,  0.60059749251E+000,  0.00000000000E+000,  0.35316820127E+007,  0.00000000000E+000,  0.85475243559E+002,  0.10092763652E+004,  0.21614118204E+004,  0.15590832137E-004,  0.11368656407E-002,  0.10000000000E+001
"TIME [sec]  0.61963600E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39959845433E+000,  0.60040154567E+000,  0.00000000000E+000,  0.35321359119E+007,  0.00000000000E+000,  0.85490532296E+002,  0.10092773295E+004,  0.21614118596E+004,  0.15591109031E-004,  0.11368653654E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39939880543E+000,  0.60060119457E+000,  0.00000000000E+000,  0.35321359119E+007,  0.00000000000E+000,  0.85490532296E+002,  0.10092773295E+004,  0.21614118596E+004,  0.15591109031E-004,  0.11368653654E-002,  0.10000000000E+001
"TIME [sec]  0.62836300E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39959754903E+000,  0.60040245097E+000,  0.00000000000E+000,  0.35325898464E+007,  0.00000000000E+000,  0.85505822220E+002,  0.10092782938E+004,  0.21614118989E+004,  0.15591385947E-004,  0.11368650900E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39939510396E+000,  0.60060489604E+000,  0.00000000000E+000,  0.35325898464E+007,  0.00000000000E+000,  0.85505822220E+002,  0.10092782938E+004,  0.21614118989E+004,  0.15591385947E-004,  0.11368650900E-002,  0.10000000000E+001
"TIME [sec]  0.63709000E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39959664388E+000,  0.60040335612E+000,  0.00000000000E+000,  0.35330438162E+007,  0.00000000000E+000,  0.85521113329E+002,  0.10092792580E+004,  0.21614119381E+004,  0.15591662884E-004,  0.11368648146E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39939140307E+000,  0.60060859693E+000,  0.00000000000E+000,  0.35330438162E+007,  0.00000000000E+000,  0.85521113329E+002,  0.10092792580E+004,  0.21614119381E+004,  0.15591662884E-004,  0.11368648146E-002,  0.10000000000E+001
"TIME [sec]  0.64581800E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39959573877E+000,  0.60040426123E+000,  0.00000000000E+000,  0.35334978731E+007,  0.00000000000E+000,  0.85536407377E+002,  0.10092802221E+004,  0.21614119774E+004,  0.15591939875E-004,  0.11368645392E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39938770235E+000,  0.60061229765E+000,  0.00000000000E+000,  0.35334978731E+007,  0.00000000000E+000,  0.85536407377E+002,  0.10092802221E+004,  0.21614119774E+004,  0.15591939875E-004,  0.11368645392E-002,  0.10000000000E+001
"TIME [sec]  0.65454500E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39959483390E+000,  0.60040516610E+000,  0.00000000000E+000,  0.35339519133E+007,  0.00000000000E+000,  0.85551700859E+002,  0.10092811860E+004,  0.21614120166E+004,  0.15592216855E-004,  0.11368642638E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39938400263E+000,  0.60061599737E+000,  0.00000000000E+000,  0.35339519133E+007,  0.00000000000E+000,  0.85551700859E+002,  0.10092811860E+004,  0.21614120166E+004,  0.15592216855E-004,  0.11368642638E-002,  0.10000000000E+001
"TIME [sec]  0.66327200E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39959392917E+000,  0.60040607083E+000,  0.00000000000E+000,  0.35344059886E+007,  0.00000000000E+000,  0.85566995528E+002,  0.10092821498E+004,  0.21614120559E+004,  0.15592493857E-004,  0.11368639884E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39938030351E+000,  0.60061969649E+000,  0.00000000000E+000,  0.35344059886E+007,  0.00000000000E+000,  0.85566995528E+002,  0.10092821498E+004,  0.21614120559E+004,  0.15592493857E-004,  0.11368639884E-002,  0.10000000000E+001
"TIME [sec]  0.67200000E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39959302449E+000,  0.60040697551E+000,  0.00000000000E+000,  0.35348601513E+007,  0.00000000000E+000,  0.85582293135E+002,  0.10092831136E+004,  0.21614120952E+004,  0.15592770912E-004,  0.11368637129E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39937660455E+000,  0.60062339545E+000,  0.00000000000E+000,  0.35348601513E+007,  0.00000000000E+000,  0.85582293135E+002,  0.10092831136E+004,  0.21614120952E+004,  0.15592770912E-004,  0.11368637129E-002,  0.10000000000E+001
"TIME [sec]  0.68072700E+06"
"             A11 0",  0.25000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39959212006E+000,  0.60040787994E+000,  0.00000000000E+000,  0.35353142971E+007,  0.00000000000E+000,  0.85597590177E+002,  0.10092840772E+004,  0.21614121344E+004,  0.15593047957E-004,  0.11368634374E-002,  0.10000000000E+001
"             A11 1",  0.75000000000E+000,  0.50000000000E+000, -0.50000000000E+000,  0.39937290659E+000,  0.60062709341E+000,  0.00000000000E+000,  0.35353142971E+007,  0.00000000000E+000,  0.85597590177E+002,  0.10092840772E+004,  0.21614121344E+004,  0.15593047957E-004,  0.11368634374E-002,  0.10000000000E+001
"TIME [sec]  0.68945400E+06"
